case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;
 [m];Pressure [Line 1] [bara]; [m];Pressure [Line 2] [bara]; [m];Pressure [Mainline] [bara]; [m];Pressure [Wellbore1] [bara]; [m];Pressure [Wellbore2] [bara]; [m];Pressure [Wellbore3] [bara]; [m];Pressure [Wellbore4] [bara];
5650;176,8739771905898;5650;176,8739771905939;5650,167157290614;186,9383939792954;1130;155,2954286278357;1130;155,2954286278358;1130;155,2954286278483;1130;155,2954286278483;
5750;177,1200532620782;5750;177,1200532620823;5750,170115826731;186,9709151903035;1150;153,7365028091794;1150;153,7365028091795;1150;153,7365028091922;1150;153,7365028091922;
5850;177,3660855919082;5850;177,3660855919122;5850,173074362849;187,0034325275254;1170;152,1786677889177;1170;152,1786677889177;1170;152,1786677889309;1170;152,1786677889309;
5950;177,6120742759555;5950;177,6120742759593;5950,176032898966;187,0359459919426;1190;150,6261171954688;1190;150,6261171954688;1190;150,6261171954823;1190;150,6261171954823;
6050;177,8580194121232;6050;177,8580194121269;6050,178991435083;187,0684555848734;;;;;;;;;
6150;178,1039211007432;6150;178,1039211007468;6150,1819499712;187,1009613075005;;;;;;;;;
6250;178,3497794458818;6250;178,3497794458852;6250,184908507317;187,1334631611195;;;;;;;;;
6350;178,5955945558676;6350;178,5955945558709;6350,187867043434;187,165961147138;;;;;;;;;
6450;178,8413665428469;6450;178,8413665428501;6450,190825579552;187,1984552668474;;;;;;;;;
6550;179,0870955241211;6550;179,0870955241242;6550,193784115669;187,2309455215369;;;;;;;;;
6650;179,3327816233721;6650;179,332781623375;6650,196742651786;187,2634319124938;;;;;;;;;
6750;179,5784249709515;6750;179,5784249709544;6750,199701187903;187,2959144410035;;;;;;;;;
6850;179,8240257051611;6850;179,8240257051638;6850,20265972402;187,3283931083492;;;;;;;;;
6950;180,0695839736825;6950;180,0695839736851;6950,205618260137;187,3608679158122;;;;;;;;;
7050;180,3150999343493;7050;180,3150999343518;7050,208576796254;187,3933388646721;;;;;;;;;
7150;180,5605737571873;7150;180,5605737571897;7150,211535332372;187,4258059561928;;;;;;;;;
7250;180,8060056266982;7250;180,8060056267005;7250,214493868489;187,4582691913344;;;;;;;;;
7350;181,0513957435679;7350;181,05139574357;7350,217452404606;187,490728571504;;;;;;;;;
7450;181,2967443264762;7450;181,2967443264782;7450,220410940723;187,523184097973;;;;;;;;;
7550;181,5420516159865;7550;181,5420516159883;7550,22336947684;187,5556357720112;;;;;;;;;
7650;181,7873178777814;7650;181,7873178777831;7650,226328012957;187,5880835948861;;;;;;;;;
7750;182,0325434055284;7750;182,03254340553;7750,229286549074;187,6205275678633;;;;;;;;;
7850;182,2777285253838;7850;182,2777285253853;7850,232245085192;187,6529676922065;;;;;;;;;
7950;182,5228736011277;7950;182,522873601129;7950,235203621309;187,6854039691774;;;;;;;;;
8050;182,7679790402763;8050;182,7679790402775;8050,238162157426;187,717836400036;;;;;;;;;
8150;183,013045300186;8150;183,013045300187;8150,241120693543;187,7502649860398;;;;;;;;;
8250;183,2580728951591;8250;183,2580728951601;8250,244079229658;187,782689728445;;;;;;;;;
8350;183,5030624055498;8350;183,5030624055506;8350,247037765777;187,8151106285055;;;;;;;;;
8450;183,748014488183;8450;183,7480144881837;8450,249996301893;187,8475276875736;;;;;;;;;
8550;183,9929298873953;8550;183,9929298873958;8550,252954838012;187,8799409065879;;;;;;;;;
8650;184,2378094477866;8650;184,237809447787;8650,255913374127;187,9123502868153;;;;;;;;;
8750;184,4826541300123;8750;184,4826541300126;8750,258871910246;187,9447558295021;;;;;;;;;
8850;184,7274650272327;8850;184,727465027233;8850,261830446361;187,9771575357773;;;;;;;;;
8950;184,9722336669559;8950;184,972233666956;8950,26478898248;188,0095554068835;;;;;;;;;
;;;;9050,267747518596;188,0419494441767;;;;;;;;;
;;;;9150,270706054715;188,0743396488952;;;;;;;;;
;;;;9250,27366459083;188,106726022276;;;;;;;;;
;;;;9350,276623126949;188,1391085655537;;;;;;;;;
;;;;9450,279581663064;188,1714872799613;;;;;;;;;
;;;;9550,282540199183;188,2038621667297;;;;;;;;;
;;;;9650,285498735298;188,2362332270881;;;;;;;;;
;;;;9750,288457271417;188,268600462247;;;;;;;;;
;;;;9850,291415807533;188,3009638731247;;;;;;;;;
;;;;9950,294374343652;188,3333234610786;;;;;;;;;
;;;;10050,29733287977;188,3656792273301;;;;;;;;;
;;;;10150,30029141589;188,398031173099;;;;;;;;;
;;;;10250,303249952;188,4303792996029;;;;;;;;;
;;;;10350,30620848812;188,4627236080579;;;;;;;;;
;;;;10450,30916702424;188,4950640996777;;;;;;;;;
;;;;10550,31212556035;188,5274007756746;;;;;;;;;
;;;;10650,31508409647;188,5597336372586;;;;;;;;;
;;;;10750,31804263259;188,5920626856381;;;;;;;;;
;;;;10850,3210011687;188,6243879220195;;;;;;;;;
;;;;10950,32395970482;188,6567093476073;;;;;;;;;
;;;;11050,32691824094;188,6890269637012;;;;;;;;;
;;;;11150,32987677706;188,7213407712007;;;;;;;;;
;;;;11250,33283531317;188,7536507713226;;;;;;;;;
;;;;11350,33579384929;188,7859569652639;;;;;;;;;
;;;;11450,33875238541;188,8182593542198;;;;;;;;;
;;;;11550,34171092153;188,8505579393835;;;;;;;;;
;;;;11650,34466945764;188,8828527219463;;;;;;;;;
;;;;11750,34762799376;188,9151437030975;;;;;;;;;
;;;;11850,35058652988;188,9474308840248;;;;;;;;;
;;;;11950,35354506599;188,9797142659137;;;;;;;;;
;;;;12050,35650360211;189,011993849948;;;;;;;;;
;;;;12150,35946213823;189,0442696373095;;;;;;;;;
;;;;12250,36242067434;189,0765416291781;;;;;;;;;
;;;;12350,36537921046;189,1088098268258;;;;;;;;;
;;;;12450,36833774658;189,1410742311375;;;;;;;;;
;;;;12550,3712962827;189,1733348433043;;;;;;;;;
;;;;12650,37425481881;189,2055916644992;;;;;;;;;
;;;;12750,37721335493;189,2378446958925;;;;;;;;;
;;;;12850,38017189105;189,2700939386527;;;;;;;;;
;;;;12950,38313042717;189,3023393939466;;;;;;;;;
;;;;13050,38608896328;189,3345810629391;;;;;;;;;
;;;;13150,3890474994;189,366818946793;;;;;;;;;
;;;;13250,39200603552;189,3990530466694;;;;;;;;;
;;;;13350,39496457163;189,4312833637274;;;;;;;;;
;;;;13450,39792310775;189,4635098991243;;;;;;;;;
;;;;13550,40088164387;189,4957326540155;;;;;;;;;
;;;;13650,40384017998;189,5279516296421;;;;;;;;;
;;;;13750,4067987161;189,5601668268835;;;;;;;;;
;;;;13850,40975725222;189,5923782469057;;;;;;;;;
;;;;13950,41271578834;189,6245858908565;;;;;;;;;
;;;;14050,41567432445;189,6567897598819;;;;;;;;;
;;;;14150,41863286057;189,6889898551261;;;;;;;;;
;;;;14250,42159139669;189,7211861777312;;;;;;;;;
;;;;14350,42454993281;189,7533787288376;;;;;;;;;
;;;;14450,42750846892;189,7855675095838;;;;;;;;;
;;;;14550,43046700504;189,8177525211062;;;;;;;;;
;;;;14650,43342554116;189,8499337645398;;;;;;;;;
;;;;14750,43638407727;189,8821112410173;;;;;;;;;
;;;;14850,43934261339;189,9142849516698;;;;;;;;;
;;;;14950,44230114951;189,9464548977001;;;;;;;;;
;;;;15050,44525968562;189,9786210800062;;;;;;;;;
;;;;15150,44821822174;190,0107834997272;;;;;;;;;
;;;;15250,45117675786;190,0429421579866;;;;;;;;;
;;;;15350,45413529398;190,0750970559062;;;;;;;;;
;;;;15450,45709383009;190,1072481946058;;;;;;;;;
;;;;15550,46005236621;190,1393955752033;;;;;;;;;
;;;;15650,46301090233;190,171539198815;;;;;;;;;
;;;;15750,46596943845;190,2036790665551;;;;;;;;;
;;;;15850,46892797456;190,2358151795358;;;;;;;;;
;;;;15950,47188651068;190,2679475388681;;;;;;;;;
;;;;16050,4748450468;190,3000761456604;;;;;;;;;
;;;;16150,47780358291;190,3322010010197;;;;;;;;;
;;;;16250,48076211903;190,3643221060922;;;;;;;;;
;;;;16350,48372065515;190,3964394618534;;;;;;;;;
;;;;16450,48667919126;190,4285530694122;;;;;;;;;
;;;;16550,48963772738;190,4606629298682;;;;;;;;;
;;;;16650,4925962635;190,492769044319;;;;;;;;;
;;;;16750,49555479961;190,5248714138606;;;;;;;;;
;;;;16850,49851333573;190,5569700395868;;;;;;;;;
;;;;16950,50147187184;190,5890649225899;;;;;;;;;
;;;;17050,50443040796;190,6211560639605;;;;;;;;;
;;;;17150,50738894407;190,6532434647868;;;;;;;;;
;;;;17250,51034748019;190,6853271261557;;;;;;;;;
;;;;17350,5133060163;190,717407049152;;;;;;;;;
;;;;17450,51626455242;190,7494832348588;;;;;;;;;
;;;;17550,51922308853;190,7815556843194;;;;;;;;;
;;;;17650,52218162465;190,813624398731;;;;;;;;;
;;;;17750,52514016076;190,845689379164;;;;;;;;;
;;;;17850,52809869688;190,8777506266943;;;;;;;;;
;;;;17950,53105723299;190,9098081423957;;;;;;;;;
;;;;18050,53401576911;190,9418619273405;;;;;;;;;
;;;;18150,53697430522;190,9739119825989;;;;;;;;;
;;;;18250,53993284134;191,0059583092394;;;;;;;;;
;;;;18350,54289137745;191,0380009083289;;;;;;;;;
;;;;18450,54584991357;191,0700397809321;;;;;;;;;
;;;;18550,54880844968;191,1020749281122;;;;;;;;;
;;;;18650,5517669858;191,1341063509304;;;;;;;;;
;;;;18750,55472552191;191,1661340504463;;;;;;;;;
;;;;18850,55768405803;191,1981580274864;;;;;;;;;
;;;;18950,56064259414;191,2301782838243;;;;;;;;;
;;;;19050,56360113026;191,2621948204713;;;;;;;;;
;;;;19150,56655966637;191,2942076384797;;;;;;;;;
;;;;19250,56951820249;191,3262167388999;;;;;;;;;
;;;;19350,57247673861;191,3582221227803;;;;;;;;;
;;;;19450,57543527472;191,3902237911679;;;;;;;;;
;;;;19550,57839381084;191,4222217451077;;;;;;;;;
;;;;19650,58135234696;191,454215985643;;;;;;;;;
;;;;19750,58431088307;191,4862065138152;;;;;;;;;
;;;;19850,58726941919;191,518193330664;;;;;;;;;
;;;;19950,5902279553;191,5501764372273;;;;;;;;;
;;;;20050,59318649142;191,5821558345414;;;;;;;;;
;;;;20150,59614502753;191,614131522935;;;;;;;;;
;;;;20250,59910356365;191,6461035056307;;;;;;;;;
